# proton angular dist
77 197 375 564 706 826 1036 1205 1330 1440 1571 1750 1887 1909 2059 2136 2228 2375 2522 2543 2540 2610 2649 2818 2767 2768 2876 2811 2820 2719 2716 2794 2756 2709 2540 2511 2557 2445 2419 2265 2205 2165 2078 2062 1946 1812 1871 1658 1616 1550 1485 1425 1253 1275 1226 1064 1068 953 949 903 732 732 668 624 555 533 547 484 437 430 377 313 313 345 302 289 229 185 217 175 162 144 142 137 136 131 130 126 99
# muon angular dist
2 4 10 9 21 21 31 33 39 47 49 36 41 42 44 67 59 60 63 60 70 62 61 68 78 65 68 86 78 83 58 66 53 83 71 75 69 74 77 66 77 59 71 50 65 58 47 47 55 52 50 48 51 46 37 37 37 47 32 33 35 33 31 19 18 11 17 10 10 6 15 11 5 5 5 4 3 7 0 3 3 3 1 1 3 1 0 0 0
# proton efficiency
0.02688172 0.0254491 0.02064323 0.02493425 0.02400257 0.02552404 0.02502214 0.02185635 0.02371996 0.02350068 0.02302991 0.02382208 0.02501888 0.02418013 0.02414788 0.02417524 0.02393167 0.02434864 0.02285861 0.02593953 0.0255759 0.02457492 0.0232073 0.02354733 0.02403545 0.02348752 0.02374031 0.02371526 0.02448897 0.02261103 0.02255042 0.02240987 0.02375054 0.02194268 0.02360982 0.02229956 0.02228418 0.02183643 0.02160609 0.02089118 0.02152538 0.0207521 0.02012937 0.0205508 0.02041706 0.02003847 0.01980484 0.01969714 0.01902453 0.01703446 0.01969862 0.01819822 0.0170409 0.01705569 0.01708432 0.01678295 0.01699095 0.01674563 0.01543235 0.01577953 0.01469637 0.01629886 0.01482055 0.01482938 0.01533363 0.01319339 0.01312496 0.01197946 0.01203128 0.01158093 0.00998152 0.01046431 0.00936768 0.01042003 0.00981396 0.00940081 0.00847142 0.00729374 0.00800316 0.00754148 0.00741733 0.0073383 0.00576902 0.00553797 0.0066939 0.00405817 0.006643 0.00512515 0.0044196
